Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,Risk Factor
"10550","","","None","10.91.251.173","udp","161","SNMP Query Running Process List Disclosure","The list of processes running on the remote host can be obtained via SNMP.","It is possible to obtain the list of running processes on the remote
host by sending SNMP requests with the OID 1.3.6.1.2.1.25.4.2.1.2

An attacker may use this information to gain more knowledge about
the target host.","Disable the SNMP service on the remote host if you do not use it,
or filter incoming UDP packets going to this port.","","
  PID   CPU   MEM COMMAND           ARGS
    1  8414    28 System Idle Process 
    4     5   192 System          
  172     0  2376 FileZilla Server.exe 
  184     0  4040 FreeSSHDService.exe 
  236     9  9720 inetinfo.exe    
  376     0   316 smss.exe        
  400     3  5804 sqlservr.exe     -sSQLEXPRESS
  436     0 30612 mysqld.exe       --defaults-file=""C:\xampp\mysql\bin\my.ini"" MySQL
  460     9 23084 explorer.exe    
  532     2  3432 csrss.exe       ObjectDirectory=\Windows SharedSection=1024,3072,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserS
  556     1  5300 winlogon.exe    
  700     1  2628 services.exe    
  712     1  6140 lsass.exe       
  868     0  1748 vmacthlp.exe    
  884     0  3860 svchost.exe     -k DcomLaunch
  892    34 51084 httpd.exe       -d C:/xampp/apache -f C:\xampp\apache\conf\httpd.conf -E C:\xampp\apache\logs\error.log
  964     0  3684 svchost.exe     -k rpcss
 1048     9 25832 svchost.exe     -k netsvcs
 1096     0  2692 svchost.exe     -k NetworkService
 1136     0  7296 svchost.exe     -k LocalService
 1384     0  5632 spoolsv.exe     
 1996     0  1268 3CTftpSvc.exe   
 2008     1 38156 httpd.exe        -k runservice
 2144     0  3252 snmp.exe        
 2160     0  1880 sqlbrowser.exe  
 2232     0  7000 VGAuthService.exe 
 2352     2 13296 vmtoolsd.exe    
 2412     0  9648 vmtoolsd.exe     -n vmusr
 2432     0  1828 msmsgs.exe       /background
 2616     0  2696 winvnc4.exe      -service
 2796     0  4244 TPAutoConnSvc.exe 
 2808     5  8180 wmiprvse.exe    
 3024     0  2544 svchost.exe     -k HTTPFilter
 3028     0  1380 wscntfy.exe     
 3184     0  2648 alg.exe         
 3536     0  4236 TPAutoConnect.exe -q -i vmware -a COM1 -F 30
","","None"
"10551","","","None","10.91.251.173","udp","161","SNMP Request Network Interfaces Enumeration","The list of network interfaces cards of the remote host can be obtained via
SNMP.","It is possible to obtain the list of the network interfaces installed
on the remote host by sending SNMP requests with the OID 1.3.6.1.2.1.2.1.0

An attacker may use this information to gain more knowledge about
the target host.","Disable the SNMP service on the remote host if you do not use it,
or filter incoming UDP packets going to this port.","","
 Interface 1 information :
 ifIndex       : 1
 ifDescr       : MS TCP Loopback interface","","None"
"10662","","","None","10.91.251.173","tcp","80","Web mirroring","Nessus can crawl the remote website.","This plugin makes a mirror of the remote website(s) and extracts the
list of CGIs that are used by the remote host. 

It is suggested that you change the number of pages to mirror in the
'Options' section of the client.","n/a","","
Webmirror performed 73 queries in 8s (9.0125 queries per second)

The following CGIs have been discovered :


+ CGI : /
  Methods : GET
  Argument : 
   Value: core.c


+ CGI : /phpmyadmin/navigation.php
  Methods : GET
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/main.php
  Methods : GET
  Argument : reload
   Value: 1
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /xampp/lang.php
  Methods : GET
  Argument : 
   Value: jp


+ CGI : /phpmyadmin/phpmyadmin.css.php
  Methods : GET
  Argument : js_frame
   Value: right
  Argument : nocache
   Value: 4081169173
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/querywindow.php
  Methods : GET,POST
  Argument : db
  Argument : no_js
   Value: true
  Argument : querydisplay_tab
   Value: sql
  Argument : sql_query
  Argument : table
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/index.php
  Methods : GET,POST
  Argument : collation_connection
  Argument : db
  Argument : fontsize
   Value: 132%
  Argument : kill
   Value: 63
  Argument : lang
   Value: uk-utf-8
  Argument : server
   Value: 1
  Argument : set_theme
   Value: original
  Argument : table
  Argument : target
   Value: import.php
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/server_databases.php
  Methods : GET,POST
  Argument : checkall
   Value: 1
  Argument : dbstats
   Value: 0
  Argument : drop_selected_dbs
   Value: Drop
  Argument : pos
   Value: 0
  Argument : selected_dbs[]
   Value: test
  Argument : sort_by
   Value: SCHEMA_NAME
  Argument : sort_order
   Value: asc
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/server_sql.php
  Methods : GET
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/server_status.php
  Methods : GET
  Argument : flush
   Value: TABLES
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63#serverstatus


+ CGI : /phpmyadmin/server_variables.php
  Methods : GET
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/server_collations.php
  Methods : GET
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/server_engines.php
  Methods : GET
  Argument : engine
   Value: PBXT
  Argument : page
   Value: Status
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/server_privileges.php
  Methods : GET
  Argument : checkprivs
   Value: test
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/server_processlist.php
  Methods : GET
  Argument : full
   Value: 1
  Argument : kill
   Value: 63
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/server_export.php
  Methods : GET
  Argument : goto
   Value: db_export.php
  Argument : selectall
   Value: 1
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/server_import.php
  Methods : GET
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/db_create.php
  Methods : POST
  Argument : db_collation
  Argument : new_db
  Argument : reload
   Value: 1
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/import.php
  Methods : POST
  Argument : MAX_FILE_SIZE
   Value: 134217728
  Argument : SQL
   Value: Go
  Argument : allow_interrupt
   Value: yes
  Argument : bkm_all_users
   Value: true
  Argument : bkm_label
  Argument : bkm_replace
   Value: true
  Argument : charset_of_file
   Value: SHIFT_JIS
  Argument : focus_querywindow
   Value: true
  Argument : format
   Value: sql
  Argument : goto
   Value: server_sql.php
  Argument : import_file
  Argument : import_type
   Value: server
  Argument : is_js_confirmed
   Value: 0
  Argument : pos
   Value: 0
  Argument : prev_sql_query
  Argument : show_query
   Value: 1
  Argument : skip_queries
   Value: 0
  Argument : sql_compatibility
   Value: TRADITIONAL
  Argument : sql_delimiter
   Value: ;
  Argument : sql_no_auto_value_on_zero
   Value: something
  Argument : sql_query
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63
  Argument : zero_rows
   Value: Your SQL query has been executed successfully


+ CGI : /phpmyadmin/sql.php
  Methods : GET
  Argument : goto
   Value: server_status.php
  Argument : sql_query
   Value: SHOW+OPEN+TABLES
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/export.php
  Methods : POST
  Argument : asfile
   Value: sendit
  Argument : charset_of_file
   Value: SHIFT_JIS
  Argument : codegen_data
  Argument : codegen_format
   Value: 0
  Argument : compression
   Value: bzip
  Argument : csv_columns
   Value: something
  Argument : csv_data
  Argument : csv_enclosed
   Value: ""
  Argument : csv_escaped
   Value: \
  Argument : csv_null
   Value: NULL
  Argument : csv_removeCRLF
   Value: something
  Argument : csv_separator
   Value: ;
  Argument : csv_terminated
   Value: AUTO
  Argument : db_select[]
  Argument : excel_columns
   Value: something
  Argument : excel_data
  Argument : excel_edition
   Value: mac_excel2008
  Argument : excel_null
   Value: NULL
  Argument : excel_removeCRLF
   Value: something
  Argument : export_type
   Value: server
  Argument : filename_template
   Value: __SERVER__
  Argument : htmlexcel_columns
   Value: something
  Argument : htmlexcel_data
  Argument : htmlexcel_null
   Value: NULL
  Argument : htmlword_columns
   Value: something
  Argument : htmlword_data
   Value: something
  Argument : htmlword_null
   Value: NULL
  Argument : htmlword_structure
   Value: something
  Argument : latex_caption
   Value: something
  Argument : latex_columns
   Value: something
  Argument : latex_comments
   Value: something
  Argument : latex_data
   Value: something
  Argument : latex_data_caption
   Value: Content of table __TABLE__
  Argument : latex_data_continued_caption
   Value: Content of table __TABLE__ (continued)
  Argument : latex_data_label
   Value: tab:__TABLE__-data
  Argument : latex_mime
   Value: something
  Argument : latex_null
   Value: \textit{NULL}
  Argument : latex_relation
   Value: something
  Argument : latex_structure
   Value: something
  Argument : latex_structure_caption
   Value: Structure of table __TABLE__
  Argument : latex_structure_continued_caption
   Value: Structure of table __TABLE__ (continued)
  Argument : latex_structure_label
   Value: tab:__TABLE__-structure
  Argument : ods_columns
   Value: something
  Argument : ods_data
  Argument : ods_null
   Value: NULL
  Argument : odt_columns
   Value: something
  Argument : odt_comments
   Value: something
  Argument : odt_data
   Value: something
  Argument : odt_mime
   Value: something
  Argument : odt_null
   Value: NULL
  Argument : odt_relation
   Value: something
  Argument : odt_structure
   Value: something
  Argument : pdf_data
   Value: 1
  Argument : pdf_report_title
  Argument : remember_template
  Argument : sql_auto_increment
   Value: something
  Argument : sql_backquotes
   Value: something
  Argument : sql_columns
   Value: something
  Argument : sql_compatibility
   Value: TRADITIONAL
  Argument : sql_data
   Value: something
  Argument : sql_dates
   Value: something
  Argument : sql_delayed
   Value: something
  Argument : sql_disable_fk
   Value: something
  Argument : sql_drop_database
   Value: something
  Argument : sql_drop_table
   Value: something
  Argument : sql_extended
   Value: something
  Argument : sql_header_comment
  Argument : sql_hex_for_blob
   Value: something
  Argument : sql_if_not_exists
   Value: something
  Argument : sql_ignore
   Value: something
  Argument : sql_include_comments
   Value: something
  Argument : sql_max_query_size
   Value: 50000
  Argument : sql_mime
   Value: something
  Argument : sql_procedure_function
   Value: something
  Argument : sql_relation
   Value: something
  Argument : sql_structure
   Value: something
  Argument : sql_type
   Value: REPLACE
  Argument : sql_use_transaction
   Value: something
  Argument : texytext_columns
   Value: something
  Argument : texytext_data
   Value: something
  Argument : texytext_null
   Value: NULL
  Argument : texytext_structure
   Value: something
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63
  Argument : what
   Value: yaml
  Argument : yaml_data

Directory index found at /xampp/img/
","","None"
"10662","","","None","10.91.251.173","tcp","443","Web mirroring","Nessus can crawl the remote website.","This plugin makes a mirror of the remote website(s) and extracts the
list of CGIs that are used by the remote host. 

It is suggested that you change the number of pages to mirror in the
'Options' section of the client.","n/a","","
Webmirror performed 73 queries in 13s (5.0615 queries per second)

The following CGIs have been discovered :


+ CGI : /
  Methods : GET
  Argument : 
   Value: core.c


+ CGI : /phpmyadmin/navigation.php
  Methods : GET
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/main.php
  Methods : GET
  Argument : reload
   Value: 1
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /xampp/lang.php
  Methods : GET
  Argument : 
   Value: jp


+ CGI : /phpmyadmin/phpmyadmin.css.php
  Methods : GET
  Argument : js_frame
   Value: right
  Argument : nocache
   Value: 4081169173
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/querywindow.php
  Methods : GET,POST
  Argument : db
  Argument : no_js
   Value: true
  Argument : querydisplay_tab
   Value: sql
  Argument : sql_query
  Argument : table
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/index.php
  Methods : GET,POST
  Argument : collation_connection
  Argument : db
  Argument : fontsize
   Value: 132%
  Argument : kill
   Value: 143
  Argument : lang
   Value: uk-utf-8
  Argument : server
   Value: 1
  Argument : set_theme
   Value: original
  Argument : table
  Argument : target
   Value: import.php
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/server_databases.php
  Methods : GET,POST
  Argument : checkall
   Value: 1
  Argument : dbstats
   Value: 0
  Argument : drop_selected_dbs
   Value: Drop
  Argument : pos
   Value: 0
  Argument : selected_dbs[]
   Value: test
  Argument : sort_by
   Value: SCHEMA_NAME
  Argument : sort_order
   Value: asc
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/server_sql.php
  Methods : GET
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/server_status.php
  Methods : GET
  Argument : flush
   Value: TABLES
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63#serverstatus


+ CGI : /phpmyadmin/server_variables.php
  Methods : GET
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/server_collations.php
  Methods : GET
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/server_engines.php
  Methods : GET
  Argument : engine
   Value: PBXT
  Argument : page
   Value: Status
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/server_privileges.php
  Methods : GET
  Argument : checkprivs
   Value: test
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/server_processlist.php
  Methods : GET
  Argument : full
   Value: 1
  Argument : kill
   Value: 143
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/server_export.php
  Methods : GET
  Argument : goto
   Value: db_export.php
  Argument : selectall
   Value: 1
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/server_import.php
  Methods : GET
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/db_create.php
  Methods : POST
  Argument : db_collation
  Argument : new_db
  Argument : reload
   Value: 1
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/import.php
  Methods : POST
  Argument : MAX_FILE_SIZE
   Value: 134217728
  Argument : SQL
   Value: Go
  Argument : allow_interrupt
   Value: yes
  Argument : bkm_all_users
   Value: true
  Argument : bkm_label
  Argument : bkm_replace
   Value: true
  Argument : charset_of_file
   Value: SHIFT_JIS
  Argument : focus_querywindow
   Value: true
  Argument : format
   Value: sql
  Argument : goto
   Value: server_sql.php
  Argument : import_file
  Argument : import_type
   Value: server
  Argument : is_js_confirmed
   Value: 0
  Argument : pos
   Value: 0
  Argument : prev_sql_query
  Argument : show_query
   Value: 1
  Argument : skip_queries
   Value: 0
  Argument : sql_compatibility
   Value: TRADITIONAL
  Argument : sql_delimiter
   Value: ;
  Argument : sql_no_auto_value_on_zero
   Value: something
  Argument : sql_query
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63
  Argument : zero_rows
   Value: Your SQL query has been executed successfully


+ CGI : /phpmyadmin/sql.php
  Methods : GET
  Argument : goto
   Value: server_status.php
  Argument : sql_query
   Value: SHOW+OPEN+TABLES
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63


+ CGI : /phpmyadmin/export.php
  Methods : POST
  Argument : asfile
   Value: sendit
  Argument : charset_of_file
   Value: SHIFT_JIS
  Argument : codegen_data
  Argument : codegen_format
   Value: 0
  Argument : compression
   Value: bzip
  Argument : csv_columns
   Value: something
  Argument : csv_data
  Argument : csv_enclosed
   Value: ""
  Argument : csv_escaped
   Value: \
  Argument : csv_null
   Value: NULL
  Argument : csv_removeCRLF
   Value: something
  Argument : csv_separator
   Value: ;
  Argument : csv_terminated
   Value: AUTO
  Argument : db_select[]
  Argument : excel_columns
   Value: something
  Argument : excel_data
  Argument : excel_edition
   Value: mac_excel2008
  Argument : excel_null
   Value: NULL
  Argument : excel_removeCRLF
   Value: something
  Argument : export_type
   Value: server
  Argument : filename_template
   Value: __SERVER__
  Argument : htmlexcel_columns
   Value: something
  Argument : htmlexcel_data
  Argument : htmlexcel_null
   Value: NULL
  Argument : htmlword_columns
   Value: something
  Argument : htmlword_data
   Value: something
  Argument : htmlword_null
   Value: NULL
  Argument : htmlword_structure
   Value: something
  Argument : latex_caption
   Value: something
  Argument : latex_columns
   Value: something
  Argument : latex_comments
   Value: something
  Argument : latex_data
   Value: something
  Argument : latex_data_caption
   Value: Content of table __TABLE__
  Argument : latex_data_continued_caption
   Value: Content of table __TABLE__ (continued)
  Argument : latex_data_label
   Value: tab:__TABLE__-data
  Argument : latex_mime
   Value: something
  Argument : latex_null
   Value: \textit{NULL}
  Argument : latex_relation
   Value: something
  Argument : latex_structure
   Value: something
  Argument : latex_structure_caption
   Value: Structure of table __TABLE__
  Argument : latex_structure_continued_caption
   Value: Structure of table __TABLE__ (continued)
  Argument : latex_structure_label
   Value: tab:__TABLE__-structure
  Argument : ods_columns
   Value: something
  Argument : ods_data
  Argument : ods_null
   Value: NULL
  Argument : odt_columns
   Value: something
  Argument : odt_comments
   Value: something
  Argument : odt_data
   Value: something
  Argument : odt_mime
   Value: something
  Argument : odt_null
   Value: NULL
  Argument : odt_relation
   Value: something
  Argument : odt_structure
   Value: something
  Argument : pdf_data
   Value: 1
  Argument : pdf_report_title
  Argument : remember_template
  Argument : sql_auto_increment
   Value: something
  Argument : sql_backquotes
   Value: something
  Argument : sql_columns
   Value: something
  Argument : sql_compatibility
   Value: TRADITIONAL
  Argument : sql_data
   Value: something
  Argument : sql_dates
   Value: something
  Argument : sql_delayed
   Value: something
  Argument : sql_disable_fk
   Value: something
  Argument : sql_drop_database
   Value: something
  Argument : sql_drop_table
   Value: something
  Argument : sql_extended
   Value: something
  Argument : sql_header_comment
  Argument : sql_hex_for_blob
   Value: something
  Argument : sql_if_not_exists
   Value: something
  Argument : sql_ignore
   Value: something
  Argument : sql_include_comments
   Value: something
  Argument : sql_max_query_size
   Value: 50000
  Argument : sql_mime
   Value: something
  Argument : sql_procedure_function
   Value: something
  Argument : sql_relation
   Value: something
  Argument : sql_structure
   Value: something
  Argument : sql_type
   Value: REPLACE
  Argument : sql_use_transaction
   Value: something
  Argument : texytext_columns
   Value: something
  Argument : texytext_data
   Value: something
  Argument : texytext_null
   Value: NULL
  Argument : texytext_structure
   Value: something
  Argument : token
   Value: 2d76ac0d0110ffffe04e03021abeeb63
  Argument : what
   Value: yaml
  Argument : yaml_data

Directory index found at /xampp/img/
","","None"
"10674","","","None","10.91.251.173","udp","1434","Microsoft SQL Server UDP Query Remote Version Disclosure","It is possible to determine the remote SQL server version.","Microsoft SQL server has a function wherein remote users can query the
database server for the version that is being run.  The query takes
place over the same UDP port that handles the mapping of multiple SQL
server instances on the same machine. 

It is important to note that, after Version 8.00.194, Microsoft
decided not to update this function.  This means that the data
returned by the SQL ping is inaccurate for newer releases of SQL
Server.","If there is only a single SQL instance installed on the remote host,
consider filter incoming traffic to this port.","","
A 'ping' request returned the following information about the remote
SQL instance :

  ServerName   : DC-0A7927972954
  InstanceName : SQLEXPRESS
  IsClustered  : No
  Version      : 9.00.1399.06
  tcp          : 1433

","","None"
"10677","","5.0","Medium","10.91.251.173","tcp","80","Apache mod_status /server-status Information Disclosure","The remote web server discloses process information.","A remote unauthenticated attacker can obtain an overview of the
remote Apache web server's activity and performance by requesting
the URL '/server-status'.  This overview includes information
such as current hosts and requests being processed, the number of
workers idle and service requests, and CPU utilization.","Update Apache's configuration file(s) to either disable mod_status or
restrict access to specific hosts.","https://www.owasp.org/index.php/SCG_WS_Apache","
Nessus was able to exploit the issue to retrieve the contents of 
'server-status' using the following request :

http://10.91.251.173/server-status

Attached is a copy of the response
","","Medium"
"10677","","5.0","Medium","10.91.251.173","tcp","443","Apache mod_status /server-status Information Disclosure","The remote web server discloses process information.","A remote unauthenticated attacker can obtain an overview of the
remote Apache web server's activity and performance by requesting
the URL '/server-status'.  This overview includes information
such as current hosts and requests being processed, the number of
workers idle and service requests, and CPU utilization.","Update Apache's configuration file(s) to either disable mod_status or
restrict access to specific hosts.","https://www.owasp.org/index.php/SCG_WS_Apache","
Nessus was able to exploit the issue to retrieve the contents of 
'server-status' using the following request :

https://10.91.251.173/server-status

Attached is a copy of the response
","","Medium"
"10678","","5.0","Medium","10.91.251.173","tcp","80","Apache mod_info /server-info Information Disclosure","The remote web server discloses configuration information.","A remote unauthenticated attacker can obtain an overview of the
remote Apache web server's configuration by requesting the URL
'/server-info'.  This overview includes information such as installed
modules, their configuration, and assorted run-time settings.","Update Apache's configuration file(s) to either disable mod_status or
restrict access to specific hosts.","https://www.owasp.org/index.php/SCG_WS_Apache","
Nessus was able to exploit the issue to retrieve the contents of 
'server-status' using the following request :

http://10.91.251.173/server-info

Attached is a copy of the response
","","Medium"
"10678","","5.0","Medium","10.91.251.173","tcp","443","Apache mod_info /server-info Information Disclosure","The remote web server discloses configuration information.","A remote unauthenticated attacker can obtain an overview of the
remote Apache web server's configuration by requesting the URL
'/server-info'.  This overview includes information such as installed
modules, their configuration, and assorted run-time settings.","Update Apache's configuration file(s) to either disable mod_status or
restrict access to specific hosts.","https://www.owasp.org/index.php/SCG_WS_Apache","
Nessus was able to exploit the issue to retrieve the contents of 
'server-status' using the following request :

https://10.91.251.173/server-info

Attached is a copy of the response
","","Medium"
"10719","","","None","10.91.251.173","tcp","3306","MySQL Server Detection","A database server is listening on the remote port.","The remote host is running MySQL, an open source database server.","n/a","","
The remote database access is restricted and configured to reject access
from unauthorized IPs.  Therefore it was not possible to extract its
version number.","","None"
"10758","","","None","10.91.251.173","tcp","5800","VNC HTTP Server Detection","The remote host is running a remote display software (VNC).","The remote host is running VNC (Virtual Network Computing), which uses
the RFB (Remote Framebuffer) protocol to provide remote access to
graphical user interfaces and thus permits a console on the remote host
to be displayed on another.","Make sure use of this software is done in accordance with your
organization's security policy and filter incoming traffic to this
port.","https://en.wikipedia.org/wiki/Vnc","","","None"
